id,title,brand,category,subcategory,description,your_cost_usd,normal_value_usd,offer_type,conditions,requires_card,location_scope,country,state,city,online,source_url,verification_status,last_checked,confidence,publish_ready,notes
1,BronxArtSpace — Free Admission,BronxArtSpace,GO FREE,Museum / Culture,Free admission according to NYC Department of Cultural Affairs listing.,0,,Always free / listed free,"Check hours, reservation rules, and ticketed special exhibitions.",Unknown,Local,US,NY,New York City,NO,https://www.nyc.gov/site/dcla/resources/free-and-suggested-admission.page,Verified via NYC DCLA aggregate,2026-08-18,High,YES,
2,Bronx Museum — Free Admission,Bronx Museum,GO FREE,Museum / Culture,Free admission according to NYC Department of Cultural Affairs listing.,0,,Always free / listed free,"Check hours, reservation rules, and ticketed special exhibitions.",Unknown,Local,US,NY,New York City,NO,https://www.nyc.gov/site/dcla/resources/free-and-suggested-admission.page,Verified via NYC DCLA aggregate,2026-08-18,High,YES,
3,Defner Judaica Museum — Free Admission,Defner Judaica Museum,GO FREE,Museum / Culture,Free admission according to NYC Department of Cultural Affairs listing.,0,,Always free / listed free,"Check hours, reservation rules, and ticketed special exhibitions.",Unknown,Local,US,NY,New York City,NO,https://www.nyc.gov/site/dcla/resources/free-and-suggested-admission.page,Verified via NYC DCLA aggregate,2026-08-18,High,YES,
4,Lehman College Art Gallery — Free Admission,Lehman College Art Gallery,GO FREE,Museum / Culture,Free admission according to NYC Department of Cultural Affairs listing.,0,,Always free / listed free,"Check hours, reservation rules, and ticketed special exhibitions.",Unknown,Local,US,NY,New York City,NO,https://www.nyc.gov/site/dcla/resources/free-and-suggested-admission.page,Verified via NYC DCLA aggregate,2026-08-18,High,YES,
5,Longwood Art Gallery — Free Admission,Longwood Art Gallery,GO FREE,Museum / Culture,Free admission according to NYC Department of Cultural Affairs listing.,0,,Always free / listed free,"Check hours, reservation rules, and ticketed special exhibitions.",Unknown,Local,US,NY,New York City,NO,https://www.nyc.gov/site/dcla/resources/free-and-suggested-admission.page,Verified via NYC DCLA aggregate,2026-08-18,High,YES,
6,The Agnes Varis Art Center at UrbanGlass — Free Admission,The Agnes Varis Art Center at UrbanGlass,GO FREE,Museum / Culture,Free admission according to NYC Department of Cultural Affairs listing.,0,,Always free / listed free,"Check hours, reservation rules, and ticketed special exhibitions.",Unknown,Local,US,NY,New York City,NO,https://www.nyc.gov/site/dcla/resources/free-and-suggested-admission.page,Verified via NYC DCLA aggregate,2026-08-18,High,YES,
7,I.R Gallery — Free Admission,I.R Gallery,GO FREE,Museum / Culture,Free admission according to NYC Department of Cultural Affairs listing.,0,,Always free / listed free,"Check hours, reservation rules, and ticketed special exhibitions.",Unknown,Local,US,NY,New York City,NO,https://www.nyc.gov/site/dcla/resources/free-and-suggested-admission.page,Verified via NYC DCLA aggregate,2026-08-18,High,YES,
8,Amant — Free Admission,Amant,GO FREE,Museum / Culture,Free admission according to NYC Department of Cultural Affairs listing.,0,,Always free / listed free,"Check hours, reservation rules, and ticketed special exhibitions.",Unknown,Local,US,NY,New York City,NO,https://www.nyc.gov/site/dcla/resources/free-and-suggested-admission.page,Verified via NYC DCLA aggregate,2026-08-18,High,YES,
9,BRIC House Exhibitions — Free Admission,BRIC House Exhibitions,GO FREE,Museum / Culture,Free admission according to NYC Department of Cultural Affairs listing.,0,,Always free / listed free,"Check hours, reservation rules, and ticketed special exhibitions.",Unknown,Local,US,NY,New York City,NO,https://www.nyc.gov/site/dcla/resources/free-and-suggested-admission.page,Verified via NYC DCLA aggregate,2026-08-18,High,YES,
10,Brooklyn Central Library — Free Admission,Brooklyn Central Library,GO FREE,Museum / Culture,Free admission according to NYC Department of Cultural Affairs listing.,0,,Always free / listed free,"Check hours, reservation rules, and ticketed special exhibitions.",Unknown,Local,US,NY,New York City,NO,https://www.nyc.gov/site/dcla/resources/free-and-suggested-admission.page,Verified via NYC DCLA aggregate,2026-08-18,High,YES,
11,Center for Brooklyn History — Free Admission,Center for Brooklyn History,GO FREE,Museum / Culture,Free admission according to NYC Department of Cultural Affairs listing.,0,,Always free / listed free,"Check hours, reservation rules, and ticketed special exhibitions.",Unknown,Local,US,NY,New York City,NO,https://www.nyc.gov/site/dcla/resources/free-and-suggested-admission.page,Verified via NYC DCLA aggregate,2026-08-18,High,YES,
12,Coney Island History Project — Free Admission,Coney Island History Project,GO FREE,Museum / Culture,Free admission according to NYC Department of Cultural Affairs listing.,0,,Always free / listed free,"Check hours, reservation rules, and ticketed special exhibitions.",Unknown,Local,US,NY,New York City,NO,https://www.nyc.gov/site/dcla/resources/free-and-suggested-admission.page,Verified via NYC DCLA aggregate,2026-08-18,High,YES,
13,Five Myles — Free Admission,Five Myles,GO FREE,Museum / Culture,Free admission according to NYC Department of Cultural Affairs listing.,0,,Always free / listed free,"Check hours, reservation rules, and ticketed special exhibitions.",Unknown,Local,US,NY,New York City,NO,https://www.nyc.gov/site/dcla/resources/free-and-suggested-admission.page,Verified via NYC DCLA aggregate,2026-08-18,High,YES,
14,Green-Wood Cemetery — Free Admission,Green-Wood Cemetery,GO FREE,Museum / Culture,Free admission according to NYC Department of Cultural Affairs listing.,0,,Always free / listed free,"Check hours, reservation rules, and ticketed special exhibitions.",Unknown,Local,US,NY,New York City,NO,https://www.nyc.gov/site/dcla/resources/free-and-suggested-admission.page,Verified via NYC DCLA aggregate,2026-08-18,High,YES,
15,Lefferts Historic House Museum — Free Admission,Lefferts Historic House Museum,GO FREE,Museum / Culture,Free admission according to NYC Department of Cultural Affairs listing.,0,,Always free / listed free,"Check hours, reservation rules, and ticketed special exhibitions.",Unknown,Local,US,NY,New York City,NO,https://www.nyc.gov/site/dcla/resources/free-and-suggested-admission.page,Verified via NYC DCLA aggregate,2026-08-18,High,YES,
16,Pioneer Works — Free Admission,Pioneer Works,GO FREE,Museum / Culture,Free admission according to NYC Department of Cultural Affairs listing.,0,,Always free / listed free,"Check hours, reservation rules, and ticketed special exhibitions.",Unknown,Local,US,NY,New York City,NO,https://www.nyc.gov/site/dcla/resources/free-and-suggested-admission.page,Verified via NYC DCLA aggregate,2026-08-18,High,YES,
17,9/11 Memorial — Free Admission,9/11 Memorial,GO FREE,Museum / Culture,Free admission according to NYC Department of Cultural Affairs listing.,0,,Always free / listed free,"Check hours, reservation rules, and ticketed special exhibitions.",Unknown,Local,US,NY,New York City,NO,https://www.nyc.gov/site/dcla/resources/free-and-suggested-admission.page,Verified via NYC DCLA aggregate,2026-08-18,High,YES,
18,52nd Street Project — Free Admission,52nd Street Project,GO FREE,Museum / Culture,Free admission according to NYC Department of Cultural Affairs listing.,0,,Always free / listed free,"Check hours, reservation rules, and ticketed special exhibitions.",Unknown,Local,US,NY,New York City,NO,https://www.nyc.gov/site/dcla/resources/free-and-suggested-admission.page,Verified via NYC DCLA aggregate,2026-08-18,High,YES,
19,Abrons Art Center — Free Admission,Abrons Art Center,GO FREE,Museum / Culture,Free admission according to NYC Department of Cultural Affairs listing.,0,,Always free / listed free,"Check hours, reservation rules, and ticketed special exhibitions.",Unknown,Local,US,NY,New York City,NO,https://www.nyc.gov/site/dcla/resources/free-and-suggested-admission.page,Verified via NYC DCLA aggregate,2026-08-18,High,YES,
20,Africa Center — Free Admission,Africa Center,GO FREE,Museum / Culture,Free admission according to NYC Department of Cultural Affairs listing.,0,,Always free / listed free,"Check hours, reservation rules, and ticketed special exhibitions.",Unknown,Local,US,NY,New York City,NO,https://www.nyc.gov/site/dcla/resources/free-and-suggested-admission.page,Verified via NYC DCLA aggregate,2026-08-18,High,YES,
21,African Burial Ground National Monument — Free Admission,African Burial Ground National Monument,GO FREE,Museum / Culture,Free admission according to NYC Department of Cultural Affairs listing.,0,,Always free / listed free,"Check hours, reservation rules, and ticketed special exhibitions.",Unknown,Local,US,NY,New York City,NO,https://www.nyc.gov/site/dcla/resources/free-and-suggested-admission.page,Verified via NYC DCLA aggregate,2026-08-18,High,YES,
22,American Academy of Arts and Letters — Free Admission,American Academy of Arts and Letters,GO FREE,Museum / Culture,Free admission according to NYC Department of Cultural Affairs listing.,0,,Always free / listed free,"Check hours, reservation rules, and ticketed special exhibitions.",Unknown,Local,US,NY,New York City,NO,https://www.nyc.gov/site/dcla/resources/free-and-suggested-admission.page,Verified via NYC DCLA aggregate,2026-08-18,High,YES,
23,American Folk Art Museum — Free Admission,American Folk Art Museum,GO FREE,Museum / Culture,Free admission according to NYC Department of Cultural Affairs listing.,0,,Always free / listed free,"Check hours, reservation rules, and ticketed special exhibitions.",Unknown,Local,US,NY,New York City,NO,https://www.nyc.gov/site/dcla/resources/free-and-suggested-admission.page,Verified via NYC DCLA aggregate,2026-08-18,High,YES,
24,Americas Society — Free Admission,Americas Society,GO FREE,Museum / Culture,Free admission according to NYC Department of Cultural Affairs listing.,0,,Always free / listed free,"Check hours, reservation rules, and ticketed special exhibitions.",Unknown,Local,US,NY,New York City,NO,https://www.nyc.gov/site/dcla/resources/free-and-suggested-admission.page,Verified via NYC DCLA aggregate,2026-08-18,High,YES,
25,The Arsenal Gallery — Free Admission,The Arsenal Gallery,GO FREE,Museum / Culture,Free admission according to NYC Department of Cultural Affairs listing.,0,,Always free / listed free,"Check hours, reservation rules, and ticketed special exhibitions.",Unknown,Local,US,NY,New York City,NO,https://www.nyc.gov/site/dcla/resources/free-and-suggested-admission.page,Verified via NYC DCLA aggregate,2026-08-18,High,YES,
26,The Arts Center at Governors Island - LMCC — Free Admission,The Arts Center at Governors Island - LMCC,GO FREE,Museum / Culture,Free admission according to NYC Department of Cultural Affairs listing.,0,,Always free / listed free,"Check hours, reservation rules, and ticketed special exhibitions.",Unknown,Local,US,NY,New York City,NO,https://www.nyc.gov/site/dcla/resources/free-and-suggested-admission.page,Verified via NYC DCLA aggregate,2026-08-18,High,YES,
27,Castle Clinton National Monument — Free Admission,Castle Clinton National Monument,GO FREE,Museum / Culture,Free admission according to NYC Department of Cultural Affairs listing.,0,,Always free / listed free,"Check hours, reservation rules, and ticketed special exhibitions.",Unknown,Local,US,NY,New York City,NO,https://www.nyc.gov/site/dcla/resources/free-and-suggested-admission.page,Verified via NYC DCLA aggregate,2026-08-18,High,YES,
28,Center for Architecture — Free Admission,Center for Architecture,GO FREE,Museum / Culture,Free admission according to NYC Department of Cultural Affairs listing.,0,,Always free / listed free,"Check hours, reservation rules, and ticketed special exhibitions.",Unknown,Local,US,NY,New York City,NO,https://www.nyc.gov/site/dcla/resources/free-and-suggested-admission.page,Verified via NYC DCLA aggregate,2026-08-18,High,YES,
29,"Center for Art, Research, and Alliances (CARA) — Free Admission","Center for Art, Research, and Alliances (CARA)",GO FREE,Museum / Culture,Free admission according to NYC Department of Cultural Affairs listing.,0,,Always free / listed free,"Check hours, reservation rules, and ticketed special exhibitions.",Unknown,Local,US,NY,New York City,NO,https://www.nyc.gov/site/dcla/resources/free-and-suggested-admission.page,Verified via NYC DCLA aggregate,2026-08-18,High,YES,
30,Center for Jewish History — Free Admission,Center for Jewish History,GO FREE,Museum / Culture,Free admission according to NYC Department of Cultural Affairs listing.,0,,Always free / listed free,"Check hours, reservation rules, and ticketed special exhibitions.",Unknown,Local,US,NY,New York City,NO,https://www.nyc.gov/site/dcla/resources/free-and-suggested-admission.page,Verified via NYC DCLA aggregate,2026-08-18,High,YES,
31,CUE Art Foundation — Free Admission,CUE Art Foundation,GO FREE,Museum / Culture,Free admission according to NYC Department of Cultural Affairs listing.,0,,Always free / listed free,"Check hours, reservation rules, and ticketed special exhibitions.",Unknown,Local,US,NY,New York City,NO,https://www.nyc.gov/site/dcla/resources/free-and-suggested-admission.page,Verified via NYC DCLA aggregate,2026-08-18,High,YES,
32,David Rubenstein Atrium at Lincoln Center — Free Admission,David Rubenstein Atrium at Lincoln Center,GO FREE,Museum / Culture,Free admission according to NYC Department of Cultural Affairs listing.,0,,Always free / listed free,"Check hours, reservation rules, and ticketed special exhibitions.",Unknown,Local,US,NY,New York City,NO,https://www.nyc.gov/site/dcla/resources/free-and-suggested-admission.page,Verified via NYC DCLA aggregate,2026-08-18,High,YES,
33,The Denny Farrell Greenhouse and Education Center — Free Admission,The Denny Farrell Greenhouse and Education Center,GO FREE,Museum / Culture,Free admission according to NYC Department of Cultural Affairs listing.,0,,Always free / listed free,"Check hours, reservation rules, and ticketed special exhibitions.",Unknown,Local,US,NY,New York City,NO,https://www.nyc.gov/site/dcla/resources/free-and-suggested-admission.page,Verified via NYC DCLA aggregate,2026-08-18,High,YES,
34,The Drawing Center — Free Admission,The Drawing Center,GO FREE,Museum / Culture,Free admission according to NYC Department of Cultural Affairs listing.,0,,Always free / listed free,"Check hours, reservation rules, and ticketed special exhibitions.",Unknown,Local,US,NY,New York City,NO,https://www.nyc.gov/site/dcla/resources/free-and-suggested-admission.page,Verified via NYC DCLA aggregate,2026-08-18,High,YES,
35,Elizabeth Foundation for the Arts — Free Admission,Elizabeth Foundation for the Arts,GO FREE,Museum / Culture,Free admission according to NYC Department of Cultural Affairs listing.,0,,Always free / listed free,"Check hours, reservation rules, and ticketed special exhibitions.",Unknown,Local,US,NY,New York City,NO,https://www.nyc.gov/site/dcla/resources/free-and-suggested-admission.page,Verified via NYC DCLA aggregate,2026-08-18,High,YES,
36,Federal Hall National Memorial — Free Admission,Federal Hall National Memorial,GO FREE,Museum / Culture,Free admission according to NYC Department of Cultural Affairs listing.,0,,Always free / listed free,"Check hours, reservation rules, and ticketed special exhibitions.",Unknown,Local,US,NY,New York City,NO,https://www.nyc.gov/site/dcla/resources/free-and-suggested-admission.page,Verified via NYC DCLA aggregate,2026-08-18,High,YES,
37,General Grant National Memorial — Free Admission,General Grant National Memorial,GO FREE,Museum / Culture,Free admission according to NYC Department of Cultural Affairs listing.,0,,Always free / listed free,"Check hours, reservation rules, and ticketed special exhibitions.",Unknown,Local,US,NY,New York City,NO,https://www.nyc.gov/site/dcla/resources/free-and-suggested-admission.page,Verified via NYC DCLA aggregate,2026-08-18,High,YES,
